import time: self [us] | cumulative | imported package
import time:       189 |        189 |   _io
import time:        29 |         29 |   marshal
import time:       188 |        188 |   posix
import time:       538 |        943 | _frozen_importlib_external
import time:      1007 |       1007 |   time
import time:       202 |       1209 | zipimport
import time:        38 |         38 |     _codecs
import time:       460 |        498 |   codecs
import time:       769 |        769 |   encodings.aliases
import time:       717 |       1982 | encodings
import time:       276 |        276 | encodings.utf_8
import time:        62 |         62 | _signal
import time:        46 |         46 |       _abc
import time:       158 |        203 |     abc
import time:        37 |         37 |       _stat
import time:        86 |        122 |     stat
import time:       699 |        699 |     _collections_abc
import time:        37 |         37 |       errno
import time:        68 |         68 |       genericpath
import time:       141 |        244 |     posixpath
import time:       528 |       1795 |   os
import time:        95 |         95 |   _sitebuiltins
import time:       443 |        443 |   encodings.utf_8_sig
import time:      1223 |       1223 |   _distutils_hack
import time:        33 |         33 |           _types
import time:       423 |        456 |         types
import time:      1248 |       1703 |       enum
import time:        53 |         53 |         _sre
import time:       439 |        439 |           re._constants
import time:       631 |       1070 |         re._parser
import time:       251 |        251 |         re._casefix
import time:       529 |       1900 |       re._compiler
import time:        93 |         93 |           itertools
import time:       316 |        316 |           keyword
import time:        58 |         58 |             _operator
import time:       705 |        763 |           operator
import time:       319 |        319 |           reprlib
import time:        43 |         43 |           _collections
import time:      1039 |       2571 |         collections
import time:        38 |         38 |         _functools
import time:       669 |       3277 |       functools
import time:       318 |        318 |       copyreg
import time:       582 |       7779 |     re
import time:       783 |       8561 |   sitecustomize
import time:      1732 |      13847 | site
import time:       392 |        392 | linecache
import time:       243 |        243 |     __future__
import time:        37 |         37 |       _typing
import time:      1989 |       2025 |     typing
import time:       590 |        590 |             _json
import time:       432 |       1021 |           json.scanner
import time:      1988 |       3009 |         json.decoder
import time:       431 |        431 |         json.encoder
import time:       414 |       3853 |       json
import time:        20 |         20 |           _contextvars
import time:       246 |        266 |         contextvars
import time:       193 |        193 |               io
import time:       533 |        533 |                 math
import time:       525 |        525 |                 select
import time:       588 |       1645 |               selectors
import time:       696 |        696 |                 _socket
import time:      1344 |       2040 |               socket
import time:       274 |        274 |                   _weakrefset
import time:       587 |        861 |                 threading
import time:      1292 |       2152 |               socketserver
import time:        29 |         29 |                 _datetime
import time:       216 |        244 |               datetime
import time:      1261 |       1261 |                 http
import time:       580 |        580 |                   weakref
import time:       305 |        884 |                 copy
import time:       420 |        420 |                   email
import time:       174 |        174 |                     urllib
import time:       536 |        536 |                       _py_warnings
import time:       305 |        840 |                     warnings
import time:      1121 |       1121 |                     ipaddress
import time:       968 |       3101 |                   urllib.parse
import time:       572 |        572 |                   email._parseaddr
import time:       474 |       4566 |                 email.utils
import time:       945 |        945 |                   html.entities
import time:       568 |       1513 |                 html
import time:       544 |        544 |                       email.errors
import time:       486 |        486 |                           binascii
import time:        21 |         21 |                               _string
import time:       532 |        553 |                             string
import time:       370 |        922 |                           email.quoprimime
import time:       435 |        435 |                                 _struct
import time:      1115 |       1549 |                               struct
import time:       295 |       1843 |                             base64
import time:       193 |       2036 |                           email.base64mime
import time:       572 |        572 |                               quopri
import time:       187 |        759 |                             email.encoders
import time:       439 |       1197 |                           email.charset
import time:       505 |       5145 |                         email.header
import time:       416 |       5560 |                       email._policybase
import time:      1147 |       7250 |                     email.feedparser
import time:      1032 |       8282 |                   email.parser
import time:       284 |        284 |                     email._encoded_words
import time:       166 |        166 |                     email.iterators
import time:       806 |       1255 |                   email.message
import time:      2256 |       2256 |                     _ssl
import time:      2352 |       4608 |                   ssl
import time:      1083 |      15226 |                 http.client
import time:        64 |         64 |                   _winapi
import time:        45 |         45 |                   winreg
import time:       456 |        564 |                 mimetypes
import time:       588 |        588 |                   fnmatch
import time:       528 |        528 |                   zlib
import time:       349 |        349 |                       compression
import time:       244 |        593 |                     compression._common
import time:       306 |        306 |                     compression._common._streams
import time:       418 |        418 |                     _bz2
import time:       306 |       1622 |                   bz2
import time:       647 |        647 |                     _lzma
import time:       289 |        936 |                   lzma
import time:       694 |        694 |                     _zstd
import time:       316 |        316 |                     compression.zstd._zstdfile
import time:       540 |       1549 |                   compression.zstd
import time:       834 |       6055 |                 shutil
import time:       706 |      30770 |               http.server
import time:       975 |        975 |                     textwrap
import time:       271 |        271 |                     codeop
import time:       565 |        565 |                       token
import time:        23 |         23 |                       _tokenize
import time:       634 |       1222 |                     tokenize
import time:       785 |        785 |                               _ast
import time:       387 |       1172 |                             ast
import time:       559 |       1731 |                           annotationlib
import time:        38 |         38 |                               _opcode
import time:       298 |        298 |                               _opcode_metadata
import time:       918 |       1253 |                             opcode
import time:       854 |       2107 |                           dis
import time:       243 |        243 |                             importlib
import time:        55 |        297 |                           importlib.machinery
import time:      2732 |       6865 |                         inspect
import time:       544 |       7409 |                       dataclasses
import time:      3072 |      10481 |                     _colorize
import time:       691 |        691 |                     contextlib
import time:       871 |      14508 |                   traceback
import time:        29 |         29 |                   atexit
import time:      1173 |      15710 |                 logging
import time:       378 |      16088 |               werkzeug._internal
import time:       726 |        726 |                   markupsafe._speedups
import time:      1151 |       1876 |                 markupsafe
import time:       678 |       2553 |               werkzeug.exceptions
import time:      1463 |       1463 |                   _hashlib
import time:       534 |        534 |                   _blake2
import time:       641 |       2636 |                 hashlib
import time:       466 |        466 |                       werkzeug.datastructures.mixins
import time:      1327 |       1793 |                     werkzeug.datastructures.structures
import time:       465 |       2257 |                   werkzeug.datastructures.accept
import time:       397 |        397 |                   werkzeug.datastructures.auth
import time:       530 |        530 |                   werkzeug.datastructures.cache_control
import time:   1184098 |    1184098 |                   werkzeug.datastructures.csp
